;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
BAIXADAS LITOR�EAS; 46.327.190,67 ; 29.338.614,97 ; 23.906.407,38 ; 13.944.494,19 ; 7.111.693,59 ; 5.765.980,59 ; 5.282.980,99 ; 4.861.707,96 ; 3.631.253,29 ; 2.881.701,40 ; 1.937.152,92 ; 2.292.525,53 
ARARUAMA; 5.499.064,37 ; 3.587.746,70 ; 3.070.719,76 ; 1.870.401,42 ; 951.973,15 ; 724.117,04 ; 692.563,70 ; 665.014,90 ; 483.490,27 ; 390.837,50 ; 251.095,72 ; 341.406,15 
ARMACAO DE BUZIOS; 2.899.656,20 ; 1.968.671,63 ; 1.377.890,22 ; 822.523,50 ; 370.058,23 ; 304.156,87 ; 264.208,89 ; 276.428,04 ; 238.889,24 ; 215.926,30 ; 151.302,58 ; 138.463,55 
ARRAIAL DO CABO; 1.389.101,25 ; 831.078,30 ; 695.238,83 ; 396.987,24 ; 216.519,39 ; 152.048,40 ; 150.634,02 ; 128.394,08 ; 90.167,27 ; 82.533,68 ; 53.348,60 ; 64.018,88 
CABO FRIO; 11.595.135,85 ; 7.492.964,60 ; 6.219.131,72 ; 3.581.646,30 ; 1.754.444,91 ; 1.419.880,92 ; 1.294.806,43 ; 1.196.768,31 ; 897.946,49 ; 722.503,99 ; 508.129,32 ; 552.027,64 
CACHOEIRAS DE MACACU; 2.185.431,59 ; 1.341.021,27 ; 1.112.635,48 ; 674.064,46 ; 387.716,51 ; 303.652,94 ; 225.374,17 ; 227.534,28 ; 135.368,83 ; 106.197,24 ; 92.572,37 ; 106.545,47 
CASIMIRO DE ABREU; 1.730.100,16 ; 992.313,68 ; 866.636,64 ; 519.315,45 ; 245.125,66 ; 187.731,98 ; 174.061,08 ; 159.025,44 ; 131.931,08 ; 121.749,08 ; 73.308,57 ; 103.827,21 
IGUABA GRANDE; 1.225.816,74 ; 731.383,35 ; 572.595,26 ; 346.033,23 ; 161.908,46 ; 134.893,60 ; 159.539,23 ; 121.826,07 ; 97.483,33 ; 84.603,37 ; 32.057,43 ; 65.242,12 
RIO BONITO; 3.462.202,27 ; 2.146.251,48 ; 1.580.846,72 ; 929.494,44 ; 528.442,26 ; 418.965,09 ; 340.611,16 ; 327.382,49 ; 241.458,81 ; 210.195,13 ; 166.981,82 ; 186.861,63 
RIO DAS OSTRAS; 8.446.877,02 ; 5.388.757,89 ; 4.483.058,50 ; 2.556.967,38 ; 1.324.549,60 ; 1.094.314,37 ; 982.856,78 ; 869.816,75 ; 655.237,33 ; 465.536,75 ; 272.759,85 ; 300.824,39 
SAO PEDRO DA ALDEIA; 3.924.823,26 ; 2.435.885,31 ; 1.938.625,80 ; 1.136.712,96 ; 553.681,84 ; 498.838,15 ; 502.123,61 ; 409.895,70 ; 305.034,04 ; 208.739,92 ; 135.808,58 ; 170.089,73 
SAQUAREMA; 3.454.929,98 ; 2.087.633,26 ; 1.696.233,18 ; 948.783,11 ; 533.188,56 ; 456.973,48 ; 418.481,19 ; 411.464,85 ; 297.596,53 ; 224.583,82 ; 158.109,69 ; 229.564,01 
SILVA JARDIM; 514.051,98 ; 334.907,50 ; 292.795,27 ; 161.564,70 ; 84.085,02 ; 70.407,75 ; 77.720,73 ; 68.157,05 ; 56.650,07 ; 48.294,62 ; 41.678,39 ; 33.654,75 
CAPITAL; 525.363.036,08 ; 315.478.281,18 ; 206.110.479,29 ; 121.834.974,77 ; 58.339.789,20 ; 47.966.740,87 ; 43.109.219,88 ; 38.867.312,53 ; 29.591.216,11 ; 23.243.659,86 ; 16.536.376,98 ; 19.460.393,53 
RIO DE JANEIRO; 525.363.036,08 ; 315.478.281,18 ; 206.110.479,29 ; 121.834.974,77 ; 58.339.789,20 ; 47.966.740,87 ; 43.109.219,88 ; 38.867.312,53 ; 29.591.216,11 ; 23.243.659,86 ; 16.536.376,98 ; 19.460.393,53 
