Regiao_Municipio,Janeiro,Fevereiro,Marco,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
BAIXADAS LITORANEAS,46327190.67,29338614.97,23906407.38,13944494.19,7111693.59,5765980.59,5282980.99,4861707.96,3631253.29,2881701.4,1937152.92
ARARUAMA,5499064.37,3587746.7,3070719.76,1870401.42,951973.15,724117.04,692563.7,665014.9,483490.27,390837.5,251095.72
ARMACAO DE BUZIOS,2899656.2,1968671.63,1377890.22,822523.5,370058.23,304156.87,264208.89,276428.04,238889.24,215926.3,151302.58
ARRAIAL DO CABO,1389101.25,831078.3,695238.83,396987.24,216519.39,152048.4,150634.02,128394.08,90167.27,82533.68,53348.6
CABO FRIO,11595135.85,7492964.6,6219131.72,3581646.3,1754444.91,1419880.92,1294806.43,1196768.31,897946.49,722503.99,508129.32
CACHOEIRAS DE MACACU,2185431.59,1341021.27,1112635.48,674064.46,387716.51,303652.94,225374.17,227534.28,135368.83,106197.24,92572.37
CASIMIRO DE ABREU,1730100.16,992313.68,866636.64,519315.45,245125.66,187731.98,174061.08,159025.44,131931.08,121749.08,73308.57
IGUABA GRANDE,1225816.74,731383.35,572595.26,346033.23,161908.46,134893.6,159539.23,121826.07,97483.33,84603.37,32057.43
RIO BONITO,3462202.27,2146251.48,1580846.72,929494.44,528442.26,418965.09,340611.16,327382.49,241458.81,210195.13,166981.82
RIO DAS OSTRAS,8446877.02,5388757.89,4483058.5,2556967.38,1324549.6,1094314.37,982856.78,869816.75,655237.33,465536.75,272759.85
SAO PEDRO DA ALDEIA,3924823.26,2435885.31,1938625.8,1136712.96,553681.84,498838.15,502123.61,409895.7,305034.04,208739.92,135808.58
SAQUAREMA,3454929.98,2087633.26,1696233.18,948783.11,533188.56,456973.48,418481.19,411464.85,297596.53,224583.82,158109.69
SILVA JARDIM,514051.98,334907.5,292795.27,161564.7,84085.02,70407.75,77720.73,68157.05,56650.07,48294.62,41678.39
RIO DE JANEIRO,525363036.08,315478281.18,206110479.29,121834974.77,58339789.2,47966740.87,43109219.88,38867312.53,29591216.11,23243659.86,16536376.98
CENTRO SUL,12955054.02,7710306.64,5773779.74,3308369.39,1502063.85,1165584.71,1112542.67,1039281.02,686725.97,558299.18,402326.31
AREAL,561146.44,353500.99,267191.03,166210.05,71130.04,59687.33,34730.15,26280.73,36076.48,20525.41,11525.91
COMENDADOR LEVY GASPARIAN,344205.71,225404.08,140957.38,77631.25,46738.58,49367.85,51506.96,34281.97,23543.71,22356.15,11481.75
ENGENHEIRO PAULO DE FRONTIN,354681.77,226437.91,177095.74,89499.4,30682.73,24184.92,38665.06,24165.52,17391.3,20200.41,9065.81
MENDES,683441.85,389787.24,321440.37,175498.69,67707.24,56823.63,56325.19,58039.9,36252.01,34397.74,21716.07
MIGUEL PEREIRA,1638331.86,1020280.56,731095.74,390539.61,200764.75,120663.58,150376.9,120143.1,73756.63,52917.29,53620.66
PARAIBA DO SUL,1881451.9,1051398.37,768457.17,474572.04,207960.08,157488.01,135063.07,138037.78,88010.26,81212.78,57088.67
PATY DO ALFERES,1135597.41,592722.32,442681.23,240724.6,124284.48,76023.87,80136.09,58963.45,49455.04,24909.94,25709.57
SAPUCAIA,565425.69,276210.15,188645.39,125977.11,50604.12,47347.17,35620.08,26684.12,15385.12,20622.99,14461.66
TRES RIOS,4021418.58,2425492.58,1836901.07,1074056.46,493252.36,429142.62,390201.52,428675.6,257138.02,213416.82,133074.84
VASSOURAS,1769352.81,1149072.44,899314.62,493660.18,208939.47,144855.73,139917.65,124008.85,89717.4,67739.65,64581.37
LITORAL SUL FLUMINENSE,12870121.26,7701665.37,6036158.58,3310306.54,1798988.37,1388408.45,1183971.02,1220718.91,917281.1,675435.08,503817.57
ANGRA DOS REIS,8923927.11,5426598.31,4127882.91,2343714.74,1310066.18,1002500.96,853862.13,847235.07,602658.34,450563.07,352098.42
MANGARATIBA,2347235.48,1364628.56,1148590.43,601395.56,306668.34,224260.79,193580.77,207469.24,165585.14,95497.38,84763.81
PARATI,1598958.67,910438.5,759685.24,365196.24,182253.85,161646.7,136528.12,166014.6,149037.62,129374.63,66955.34
MEDIO PARAIBA,57547837.57,30747960.56,21368715.88,13036234.08,7309647.91,5670361.23,4462037.62,4357902.31,3122128.1,2036373.31,1726583.11
BARRA DO PIRAI,3599590.44,2114452.48,1639810.11,999923.04,434256.02,400984.86,340292.88,266693.18,216448.52,133047.85,273196.08
BARRA MANSA,9049240.55,5342952.78,4008033.81,2394317.71,1085550.44,854040.78,729256.87,1015555.86,543228.3,381466.99,289786.93
ITATIAIA,1780863.76,1268266.31,385843.43,387081.63,419180.04,250261.73,106836.68,136189.55,94589.27,42846.57,35341.94
PINHEIRAL,839940.29,481414.68,403330.85,249422.66,110787.36,84612.35,84980.12,79205.81,60164.77,28081.73,27917.54
PIRAI,1078743.7,641402.74,495236.71,284432.45,137369.3,89927.29,76161.71,50927.79,55764.11,53697.44,24139.63
PORTO REAL,6430272.89,1999875.91,666013.67,278315.64,1008671.42,798037.16,464761.4,369398.47,310764.98,104586.36,70086.02
QUATIS,466660.92,221139.54,188489.88,92677.47,84241.16,50748.3,38875.01,38789.2,22610.5,15401.4,13424.05
RESENDE,12015464.08,6214068.83,4293984.4,2809273.58,1283781.45,1049632.32,888571.27,899935.82,589896.4,435833.24,325414.34
